codigo,region,municipioEscolar,nombreEscuela,nivel,ausentismo_cronico,ciencias_meta,espanol_meta,ingles_meta,mate_meta,asistencia_estudiantes_pct,asistencia_maestros_pct,matricula,Disabilities,econ_des,FosterCare,Female,Male,Migrants,Section504,econ_des_pct,disabilities_pct,zona,latitud,longitud
17319,Arecibo,Ciales,Juan A. Corretjer,Secundario,0.3034111310592459,0.50847,0.31356,0.40171,0.1453,0.9303804102854388,0.5765113395344964,543,160,457,0,270,273,0,4,0.8416206261510129,0.2946593001841621,RURAL,18.34071,-66.47404
17327,Arecibo,Camuy,Superior Miguel F. Santiago Echegaray,Secundario,0.3684210526315789,0.38596,0.2807,0.42105,0.0,0.906614392594756,0.6206805097336192,250,60,206,0,120,130,0,0,0.824,0.24,RURAL,18.3675,-66.83333333
17350,Arecibo,Manatí,Petra Corretjer de O'Neill,Secundario,0.3426573426573426,0.51748,0.6993,0.53147,0.96503,0.9135924708572362,0.628206424581458,569,140,457,0,275,294,0,0,0.8031634446397188,0.2460456942003515,URBANA,18.42493,-66.46694
17368,Arecibo,Quebradillas,Superior Manuel Ramos Hernández,Secundario,0.2931937172774869,0.35461,0.40141,0.45775,0.27465,0.9224422442244224,0.6571637347381243,377,104,279,0,173,204,0,3,0.7400530503978779,0.27586206896551724,URBANA,18.47761,-66.93574
17384,Arecibo,Camuy,Luis F. Crespo,Secundario,0.3291139240506329,0.6383,0.50526,0.53439,0.26842,0.8988090405754274,0.7367967168240729,699,170,514,0,348,351,0,1,0.7353361945636624,0.24320457796852646,URBANA,18.46535,-66.85207
17418,Arecibo,Manatí,Nueva Juan S. Marchand,Primario,0.1766004415011037,0.47222,0.42174,0.37118,0.33623,0.9483853422214352,0.5998798456236901,433,159,367,0,204,229,0,0,0.8475750577367206,0.3672055427251732,RURAL,18.46071,-66.48679
17459,Arecibo,Florida,Ricardo Rodríguez Torres,Primario,0.3518518518518518,0.44444,0.5,0.54918,0.54098,0.9176801476310114,0.6456900130949668,248,69,232,0,126,122,0,0,0.9354838709677419,0.2782258064516129,URBANA,18.36411,-66.57161
17467,Arecibo,Camuy,Amalia López de Ávila (Nueva),Primario,0.4763406940063091,0.7931,0.62112,0.53416,0.6646,0.8428009470720931,0.6530608982764853,298,117,270,0,132,166,0,2,0.9060402684563759,0.3926174496644295,RURAL,18.46785,-66.84433
17558,Arecibo,Arecibo I,Superior Vocacional,Secundario,0.1771247021445591,0.55,0.49425,0.54406,0.11154,0.953096244601957,0.68538636632879,1211,388,964,0,626,585,0,1,0.7960363336085879,0.32039636663914123,URBANA,18.44175,-66.67191
17657,Mayagüez,Isabela,Nueva Ceferina Cordero,Primario,0.3604240282685512,0.46032,0.35751,0.28125,0.34715,0.8876984691699363,0.7253470616752821,275,94,237,0,125,150,0,0,0.8618181818181818,0.3418181818181818,URBANA,18.50459,-67.02416
17673,Arecibo,Lares,Daniel Vélez Soto,Primario,0.2108433734939759,0.70175,0.53039,0.41436,0.56906,0.9304240024259288,0.6257288717306606,313,108,258,0,151,162,0,0,0.8242811501597445,0.3450479233226837,URBANA,18.29956,-66.88233
17707,Ponce,Utuado,Dr. Efraín González Tejera,Primario,0.2014925373134328,0.88,0.92754,0.88406,0.88406,0.9540505421632762,0.6122548945129926,123,25,105,0,57,66,0,0,0.8536585365853658,0.2032520325203252,RURAL,18.29252,-66.80358
17749,Arecibo,Arecibo II,S. U. Barrio Sabana Hoyos (Nueva),Primario,0.4146341463414634,0.57792,0.42536,0.36756,0.20492,0.9006466593890503,0.613705797952289,595,226,491,0,293,302,0,0,0.8252100840336134,0.3798319327731092,RURAL,18.40143,-66.60302
