PartitionKey,escuela,region,municipio,escuela_receptora,nivel,grade,matricula_1819,matricula_1718,matricula_1617,espanol_1819,espanol_1718,espanol_1617,matematica_1819,matematica_1718,matematica_1617,ingles_1819,ingles_1718,ingles_1617,ciencias_1819,ciencias_1718,ciencias_1617,latitude,longitude,escuela_receptora_cat,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
12740,Angel Rafael Diaz Colon,BAYAMON,OROCOVIS,1,TODOS LOS NIVELES,"K - 8, EEE - EES",243,194,183,74.8,83.5,88.9,80.1,70.6,91.1,92.1,79.8,98.9,94.6,95.2,83.3,18.20418,-66.42229,Schools received displaced students in SY 2019,2019,243,103,207,128,0,0,10,115,0,1,140,36,0,243,6,4,0
12435,Barahona (Elemental),BAYAMON,MOROVIS,1,PRIMARIO,"PK - 5, EEE",302,232,260,53.2,42.6,43.5,51.3,45.7,50.4,72.4,28.3,31.1,66.0,44.4,64.5,18.35501,-66.44233,Schools received displaced students in SY 2019,2019,302,116,223,160,0,0,25,142,0,0,186,79,0,302,0,0,0
71654,Basilio Milan Hernandez,BAYAMON,TOA BAJA,0,PRIMARIO,"6 - 8, EEI",528,651,735,31.6,39.9,42.6,0.8,2.8,3.1,28.4,37.3,39.8,22.6,28.9,21.5,18.43839,-66.17358,Schools did not receive displaced students,2019,528,163,389,253,0,15,0,275,0,0,365,139,0,513,0,2,0
71290,Bernarda Robles de Hevia,BAYAMON,NARANJITO,0,PRIMARIO,PK - 5,131,139,159,31.1,27.3,19.1,20.5,58.2,27.9,6.7,16.4,4.4,27.3,40.9,78.6,18.29585,-66.21263,Schools did not receive displaced students,2019,131,52,96,62,0,0,5,69,0,0,79,35,0,131,1,1,0
70409,Bernardo Huyke,BAYAMON,BAYAMON,0,PRIMARIO,PK - 5,373,340,230,42.5,42.4,57.7,53.5,46.6,57.3,47.8,29.1,40.6,46.0,39.5,66.7,18.35867,-66.16102,Schools did not receive displaced students,2019,373,118,272,183,0,4,2,190,0,0,255,101,0,369,0,0,0
70078,Cacique Agüeybana,BAYAMON,BAYAMON,0,TODOS LOS NIVELES,"6 - 12, EEI",560,556,557,49.7,41.2,47.7,3.2,1.4,0.7,42.5,40.6,40.7,42.0,32.6,31.8,18.40737,-66.17208,Schools did not receive displaced students,2019,560,130,405,301,0,9,0,259,0,0,430,155,1,548,4,1,2
70433,Carlos Orama Padilla,BAYAMON,BAYAMON,1,PRIMARIO,PK - 5,345,302,260,38.1,27.3,59.5,51.0,52.1,50.9,43.9,32.2,33.3,70.4,35.5,57.9,18.37668,-66.16742,Schools received displaced students in SY 2019,2019,345,132,285,173,0,4,2,172,0,0,213,60,0,339,0,0,2
71662,Carmen Barroso Morales,BAYAMON,TOA BAJA,1,PRIMARIO,K - 5,298,227,227,93.8,95.7,93.2,100.0,99.1,96.2,77.4,61.9,67.7,92.7,90.6,72.0,18.43399,-66.17268,Schools received displaced students in SY 2019,2019,298,117,240,137,0,13,0,161,0,0,181,58,2,282,0,0,1
70540,Carmen Gomez Tejera,BAYAMON,BAYAMON,1,PRIMARIO,"K - 5, EEE",361,377,319,31.5,36.7,50.6,45.2,43.5,58.4,38.3,29.5,43.8,35.8,37.0,58.2,18.39044,-66.14161,Schools received displaced students in SY 2019,2019,361,177,301,170,0,9,3,191,0,0,184,60,0,352,0,5,0
74237,Coleen Vazquez Urrutia,BAYAMON,NARANJITO,1,PRIMARIO,"K - 8, EEE - EEI",376,367,343,24.2,23.8,33.1,22.1,16.2,18.5,27.1,12.3,23.4,26.4,23.5,17.2,18.29895,-66.25257,Schools received displaced students in SY 2019,2019,376,147,334,172,0,1,0,204,0,0,229,42,0,375,0,0,0
